,Host
LC460082,NA
LC460081,NA
LC460080,NA
LC460079,NA
LC460078,NA
LC460077,NA
LC460076,NA
LC460075,NA
LC460074,NA
LC460073,NA
LC460072,NA
LC460071,NA
LC460070,NA
LC460069,NA
LC460068,NA
LC460067,NA
LC460066,NA
LC460065,NA
LC460064,NA
LC460063,NA
LC460062,NA
LC460061,NA
LC459998,NA
LC459997,NA
LC459996,NA
LC459995,NA
LC459994,NA
LC459993,NA
LC459992,NA
LC459991,NA
LC459990,NA
LC459989,NA
LC459988,NA
LC459987,NA
LC459986,NA
LC459985,NA
LC459984,NA
LC459983,NA
LC459982,NA
LC459981,NA
LC459980,NA
LC459979,NA
LC459978,NA
LC459977,NA
MK521913,Sarcophilus harrisii
MK521912,Sarcophilus harrisii
MK472056,Homo sapiens; sex:F; age:63
MK472055,Homo sapiens; sex:F; age:1
MK472054,Homo sapiens; sex:F; age:27
MK430063,Homo sapiens; sex: M; age:63
MH807626,goose
MH921451,Pipistrellus pipistrellus
MH921450,Pipistrellus pipistrellus
MH921449,Pipistrellus pipistrellus
MH921448,Pipistrellus pipistrellus
MH921447,Pipistrellus pipistrellus
MH921446,Pipistrellus pipistrellus
MH921445,Pipistrellus pipistrellus
MH921444,Pipistrellus pipistrellus
MH345765,yak
MH345764,yak
HM484374,Homo sapiens
MH643741,Homo sapiens
MH423877,pig
MH423876,pig
MH423875,pig
MH423874,pig
MH423873,pig
MH423872,pig
MH423871,pig
MH423870,pig
MH423869,pig
MH423868,pig
MH399911,pig
MH399910,pig
MH399909,pig
MH399908,pig
MH399907,pig
MH399906,pig
MH399905,pig
MH399904,pig
MH399903,pig
MH399902,pig
MH399901,pig
MH399900,pig
MH399899,pig
MH399897,pig
MH399896,pig
MH399895,pig
MH399894,pig
MH399893,pig
MG051064,Sus scrofa domesticus
MG051063,Sus scrofa domesticus
MG051062,Sus scrofa domesticus
MG051061,Sus scrofa domesticus
MG051060,Sus scrofa domesticus
MG051059,Sus scrofa domesticus
MG051058,Sus scrofa domesticus
MG051057,Sus scrofa domesticus
MG051056,Sus scrofa domesticus
MG051055,Sus scrofa domesticus
MG051054,Sus scrofa domesticus
MG051053,Sus scrofa domesticus
MG051052,Sus scrofa domesticus
MG051051,Sus scrofa domesticus
MG051050,Sus scrofa domesticus
MG051049,Sus scrofa domesticus
MG051048,Sus scrofa domesticus
MG051047,Sus scrofa domesticus
MG051046,Sus scrofa domesticus
MG051045,Sus scrofa domesticus
MG051044,Sus scrofa domesticus
MG051043,Sus scrofa domesticus
MG051042,Sus scrofa domesticus
MG051041,Sus scrofa domesticus
MG051040,Sus scrofa domesticus
MH332785,Homo sapiens; sex: M; age: 11 months
MH933759,Homo sapiens
MH933758,Homo sapiens
MH933757,Homo sapiens
MH933756,Homo sapiens
MH933755,Homo sapiens
MH933754,Homo sapiens
MH933753,Homo sapiens
MH933752,Homo sapiens
MH332787,Homo sapiens; sex: M; age: 5 months
MH332786,Homo sapiens; sex: M; age: 5 months
MH332784,Homo sapiens; sex: M; age: 2 months
MH332783,Homo sapiens; sex: M; age: 2 months
MH332782,Homo sapiens; sex: F; age: 9 months
MH332780,Homo sapiens; sex: F; age: 13 months
MH332779,Homo sapiens; sex: F; age: 8 months
MH332778,Homo sapiens; sex: M; age: 3 months
MH332777,Homo sapiens; sex: M; age: 3 months
MK327365,Homo sapiens
JF491403,Homo sapiens; sex: M; age: 1 months
MH318028,Homo sapiens; sex: M; age: 6 months
MH318026,Homo sapiens; sex: F; age: 9 months
MH318023,Homo sapiens; sex: F; age: 3 months
MH318020,Homo sapiens; sex: M; age: 5 months
MG932595,Homo sapiens; sex: M; age: 11 months
MG932574,Homo sapiens; sex: M; age: 6 months
MG932570,Homo sapiens; sex: M; age: 13 months
MG932566,Homo sapiens; sex: M; age: 10 months
MG932606,Homo sapiens; sex: M; age: 11 months
MG932605,Homo sapiens; sex: F; age: 6 months
MG932604,Homo sapiens; sex: M; age: 6 months
MG932603,Homo sapiens; sex: F; age: 31 months
MG932602,Homo sapiens; sex: F; age: 14 months
MG932601,Homo sapiens; sex: F; age: 1 Y
MG932600,Homo sapiens; sex: M; age: 13 months
MG932599,Homo sapiens; sex: F; age: 1 Y
MG932598,Homo sapiens; sex: M; age: 3 months
MG932597,Homo sapiens; sex: M; age: 6 months
MG932596,Homo sapiens; sex: M; age: 7 months
MG932594,Homo sapiens; sex: F; age: 8 months
MG932593,Homo sapiens; sex: M; age: 3 months
MG932592,Homo sapiens; sex: F; age: 14 months
MG932576,Homo sapiens; sex: M; age: 11 months
MG932575,Homo sapiens; sex: F; age: 6 months
MG932573,Homo sapiens; sex: F; age: 31 months
MG932572,Homo sapiens; sex: F; age: 14 months
MG932571,Homo sapiens; sex: F; age: 1 Y
MG932569,Homo sapiens; sex: F; age: 1 Y
MG932568,Homo sapiens; sex: M; age: 6 months
MG932567,Homo sapiens; sex: M; age: 11 months
MG932565,Homo sapiens; sex: F; age: 2 months
MG932564,Homo sapiens; sex: M; age: 17 months
MG932563,Homo sapiens; sex: F; age: 2 months
MG932562,Homo sapiens; sex: F; age: 5 months
MG932561,Homo sapiens; sex: M; age: 9 months
MG932560,Homo sapiens; sex: F; age: 9 months
MG932559,Homo sapiens; sex: F; age: 1 months
MG932558,Homo sapiens; sex: F; age: 9 months
MG932557,Homo sapiens; sex: F; age: 5 months
KP453860,Homo sapiens; age: 3 Y
KP453859,Homo sapiens; age: 3 Y
KP453858,Homo sapiens; age: 4 M
KP453857,Homo sapiens; age: 8 M
KP453856,Homo sapiens; age: 2 Y
KP453855,Homo sapiens; age: 3 Y
KP453854,Homo sapiens; age: 9 M
KP453853,Homo sapiens; sex: F; age: 4 M
KP453852,Homo sapiens; sex: F; age: 11 Y
KP453851,Homo sapiens; sex: M; age: 8 Y
KP453848,Homo sapiens; sex: M; age: 3 Y
KP453847,Homo sapiens; age: 79 Y
KP453846,Homo sapiens; sex: F; age: 14 M
KP453845,Homo sapiens; sex: M; age: 8 M
KP453843,Homo sapiens; sex: M; age: 3 Y
KP453850,Homo sapiens; sex: F; age: 3 Y
KP453849,Homo sapiens; sex: F; age: 3 Y
KP453844,Homo sapiens; sex: M; age: 8 M
KF039921,NA
KF039920,NA
KF039919,NA
KF039918,NA
KF039917,NA
KF039916,NA
KF039915,NA
KF039914,NA
JF491429,Homo sapiens
JF491428,Homo sapiens
JF491427,Homo sapiens
JF491426,Homo sapiens
JF491425,Homo sapiens
JF491424,Homo sapiens
JF491423,Homo sapiens
JF491422,Homo sapiens
JF491421,Homo sapiens
JF491420,Homo sapiens
JF491419,Homo sapiens
JF491418,Homo sapiens
JF491417,Homo sapiens
JF491416,Homo sapiens
JF491415,Homo sapiens
JF491414,Homo sapiens
JF491413,Homo sapiens
JF491412,Homo sapiens
JF491411,Homo sapiens
JF491410,Homo sapiens
JF491409,Homo sapiens
JF491408,Homo sapiens
JF491407,Homo sapiens
JF491406,Homo sapiens
JF491405,Homo sapiens
JF491404,Homo sapiens
JF491402,Homo sapiens
JF491401,Homo sapiens
JF491400,Homo sapiens
JF491399,Homo sapiens
JF491398,Homo sapiens
JF491397,Homo sapiens
JF491396,Homo sapiens
JF491395,Homo sapiens
JF491394,Homo sapiens
JF491393,Homo sapiens
JF491392,Homo sapiens
JF491391,Homo sapiens
JF491390,Homo sapiens
JF491389,Homo sapiens
JF491388,Homo sapiens
JF491387,Homo sapiens
JF491386,Homo sapiens
JF491385,Homo sapiens
JF491384,Homo sapiens
JF491383,Homo sapiens
JF491382,Homo sapiens
JF491381,Homo sapiens
JF491380,Homo sapiens
JF491379,Homo sapiens
JF491378,Homo sapiens
JF491377,Homo sapiens
JF491376,Homo sapiens
JF491375,Homo sapiens
JF491374,Homo sapiens
JF491373,Homo sapiens
JF491372,Homo sapiens
JF491371,Homo sapiens
JF491370,Homo sapiens
JF491369,Homo sapiens
JF491368,Homo sapiens
JF491367,Homo sapiens
JF491366,Homo sapiens
JF491365,Homo sapiens
HM630269,Homo sapiens
HM630268,Homo sapiens
MF741186,Hybomys univittatus
MF741181,Rattus rattus
MF741180,Rattus rattus
MF741179,Rattus rattus
MF741178,Rattus rattus
MF741177,Mus musculus
MF741176,Rattus rattus
MF741187,Rattus rattus
MF741185,Rattus rattus
MF741184,Rattus rattus
MF741183,Rattus rattus
MF741182,Rattus rattus
MH511538,Pheasant
MH511537,Gallus gallus
MH511536,Sus scrofa
MH511535,Sus scrofa
MH511534,Sus scrofa
MH511533,Sus scrofa
MH511532,Sus scrofa
MH511531,Sus scrofa
MH511530,Sus scrofa
MH511529,Sus scrofa
MH511528,Sus scrofa
MH511527,Sus scrofa
MH511526,Sus scrofa
MH511525,Sus scrofa
MH511524,Sus scrofa
MH425243,Sus scrofa
MH716817,Hyporhamphus australis
MH716816,Scorpaena jacksoniensis
MH716815,Pseudorhombus arsius
MK059956,Homo sapiens
MK059955,Homo sapiens
MK059954,Homo sapiens
MK059953,Homo sapiens
MK059952,Homo sapiens
MK059951,Homo sapiens
MK059950,Homo sapiens
MK059949,Homo sapiens
MG930777,Sus scrofa
MG478498,Mus musculus
MG478497,Mus musculus
KY807085,Lingxian White Goose
MH446377,Homo sapiens; sex: F; age: 17 Y
KY370024,Tscherskia triton
KY370023,Apodemus agrarius
KY370022,Apodemus agrarius
KY370021,Sorex araneus
KY370020,Rattus flavipectus
KY370019,Mus musculus
KY370018,Niviventer niviventer
KY370017,Suncus murinus
KY370016,Rattus flavipectus
KY370015,Rattus norvegicus
KY370014,Bandicota indica
KY370013,Microtus fortis
KY370012,Niviventer niviventer
KY370011,Niviventer niviventer
KY370010,Mus musculus
KY370009,Rattus losea
KY370008,Rattus losea
KY370007,Rattus norvegicus
KY370006,Rattus norvegicus
KY370005,Niviventer niviventer
KY370004,Apodemus agrarius
KY370003,Rattus losea
KY370002,Rattus losea
KY370001,Rattus rattus
KY370000,Rattus rattus
KY369999,Neodon clarkei
KY369998,Apodemus agrarius
KY369997,Niviventer niviventer
KY369996,Apodemus peninsulae
KY369995,Myodes rufocanus
KY369994,Myodes rufocanus
KY369993,Myodes rufocanus
KY369992,Cricetulus barabensis
KY369991,Niviventer eha
KY369990,Apodemus sylvaticus
KY369989,Mus pahari
KY369988,Rattus tanezumi sladeni
KY369987,Mus caroli
KY369986,Eothenomys custos
KY369985,Eothenomys custos
KY369984,Rattus flavipectus
KY369983,Rattus flavipectus
KY369982,Rattus flavipectus
KY369981,Rattus flavipectus
KY369980,Rattus flavipectus
KY369979,Rattus norvegicus
KY369978,Rattus nitidus
KY369977,Apodemus agrarius
KY369976,Apodemus chevrieri
KY369975,Apodemus agrarius
KY369974,Apodemus agrarius
KY369973,Lasiopodomys gregalis
KY369972,Meriones meridianus
KY369971,Niviventer niviventer
KY369970,Sorex araneus
MH446381,Homo sapiens; sex: F; age: 64 Y
MH446382,Homo sapiens; sex: F; age: 64 Y
MH446380,Homo sapiens; sex: F; age: 20 Y
MH446379,Homo sapiens; sex: F; age: 20 Y
MH446378,Homo sapiens; sex: F; age: 17 Y
MG957150,calf (bovine)
MG957149,calf (bovine)
MG957148,calf (bovine)
MG957147,calf (bovine)
MH318022,Homo sapiens; sex: M; age: 10 months
MH318027,Homo sapiens; sex: M; age: 6 months
MH318025,Homo sapiens; sex: F; age: 9 months
MH318024,Homo sapiens; sex: M; age: 22 months
MH318021,Homo sapiens; sex: F; age: 2 months
MH318019,Homo sapiens; sex: M; age: 5 months
MH318018,Homo sapiens; sex: M; age: 6 months
MH453801,Red-necked Avocet
MH453800,Red-necked Avocet
MG599912,Sylvirana guentheri
MG599904,Myrrophis chinensis
MG599899,Pleuronichthys japonicus
MG599895,Coelorinchus multispinulosus
MG599888,Scoliodon macrorhynchos
MG599886,Lethenteron camtschaticum
MG599935,Chimaera sp.
MG599934,Chimaera sp.
MG599931,Polypedates megacephalus
MG599929,Echelus uropterus
MG599927,Sardinella lemuru
MG599922,Gonorynchus abbreviatus
MG599920,Tropidophorus sinicus
MG599919,Hemidactylus bowringii
MG599918,Hemidactylus bowringii
MG599917,Gekko similignum
MG599916,Cynops orientalis
MG599909,Microhyla pulchra
MG599907,Teratoscincus roborowskii
MG599906,Leptobrachium hainanense
MG599905,NA
MG599900,Hime japonica
MG599896,Coelorinchus multispinulosus
MG599894,Macroramphosus scolopax
MG599891,Lethenteron camtschaticum
MG599889,Scoliodon macrorhynchos
MG599885,NA
MG599884,NA
MG599881,Hyporhamphus sajori
MG599880,Hyporhamphus sajori
MG599936,Hemitriakis japanica
MG599933,Calotes versicolor
MG599932,Polypedates megacephalus
MG599930,Minous monodactylus
MG599928,Parapercis lutevittata
MG599926,Arnoglossus sp.
MG599925,Crossorhombus sp.
MG599924,Crossorhombus sp.
MG599923,Plagiopsetta sp.
MG599921,Macroramphosus scolopax
MG599915,Cynops orientalis
MG599914,Cynops orientalis
MG599913,Pachytriton brevipes
MG599911,Hyla simplex
MG599910,Duttaphrynus melanostictus
MG599908,Microhyla pulchra
MG599903,Bufo gargarizans
MG599902,Pterygotrigla hemisticta
MG599901,Lepidotrigla sp.
MG599898,Cynoglossus sp.
MG599897,Coelorinchus multispinulosus
MG599893,Coelorinchus multispinulosus
MG599892,Lethenteron camtschaticum
MG599890,Lethenteron camtschaticum
MG599887,Dasyatis akajei
MG599883,Cephalopholis spiloparaea
MG599882,Banjos banjos
MH791394,NA
MH253878,domestic cat
MH253877,domestic cat
MH253876,domestic cat
MH253875,domestic cat
MH253874,domestic cat
MH253873,domestic cat
MH253872,domestic cat
MH253871,domestic cat
MH253870,domestic cat
MH253869,domestic cat
MH253868,domestic cat
MH253867,domestic cat
MH253866,domestic cat
MH253865,domestic cat
MH253864,domestic cat
MH253863,domestic cat
MH253862,domestic cat
MH253861,domestic cat
MH253860,domestic cat
MH253859,domestic cat
MH253858,domestic cat
MH253857,domestic cat
MH253856,domestic cat
MH253855,domestic cat
MH253854,domestic cat
MH253853,domestic cat
MH253852,domestic cat
MH253851,domestic cat
MH253850,domestic cat
MH253849,domestic cat
MH253848,domestic cat
MH253847,domestic cat
MH253846,domestic cat
MH253845,domestic cat
MH253844,domestic cat
MH253843,domestic cat
MH253842,domestic cat
MH253841,domestic cat
MH253840,domestic cat
MH253839,domestic cat
MH835436,goat
MH835435,goat
MH835434,goat
MH835433,goat
MH410610,goslings
MG841043,Rhinolophus ferrumequinum
MG841042,Rhinolophus ferrumequinum
MG841041,Rhinolophus ferrumequinum
MG841040,Rhinolophus ferrumequinum
MG841039,Rhinolophus ferrumequinum
MG841038,Rhinolophus ferrumequinum
MG841037,Rhinolophus ferrumequinum
MG841036,Rhinolophus ferrumequinum
MG841035,Miniopterus schreibersii
MG841034,Miniopterus schreibersii
MG841033,Miniopterus schreibersii
MG841032,Miniopterus schreibersii
MG841031,Miniopterus schreibersii
MG841030,Miniopterus schreibersii
MG841029,Miniopterus schreibersii
MG841028,Miniopterus schreibersii
MG841027,Miniopterus schreibersii
MG841026,Miniopterus schreibersii
MG841025,Miniopterus schreibersii
MG841024,Miniopterus schreibersii
MG841023,Miniopterus schreibersii
MG841022,Miniopterus schreibersii
MG841021,Miniopterus schreibersii
MG841020,Miniopterus schreibersii
MG841019,Miniopterus schreibersii
MG841018,Miniopterus schreibersii
MG841017,Miniopterus schreibersii
MG841016,Miniopterus schreibersii
MG841015,Miniopterus schreibersii
MG841014,Miniopterus schreibersii
MG841013,Miniopterus schreibersii
MG841012,Miniopterus schreibersii
MG841011,Miniopterus schreibersii
MG841010,Miniopterus schreibersii
MG841009,Miniopterus schreibersii
MG841008,Miniopterus schreibersii
MG841007,Miniopterus schreibersii
MG841006,Miniopterus schreibersii
MG841005,Miniopterus schreibersii
MG841004,Miniopterus schreibersii
MG841003,Miniopterus schreibersii
MG841002,Miniopterus schreibersii
MG841001,Miniopterus schreibersii
MG841000,Miniopterus schreibersii
MG840999,Miniopterus schreibersii
MG840998,Miniopterus schreibersii
MG840997,Miniopterus schreibersii
MG840996,Miniopterus schreibersii
MG840995,Miniopterus schreibersii
MG840994,Miniopterus schreibersii
MG840993,Miniopterus schreibersii
MG840992,Miniopterus schreibersii
MG840991,Miniopterus schreibersii
MG840990,Miniopterus schreibersii
MG840989,Miniopterus schreibersii
MG840988,Miniopterus schreibersii
MG840987,Miniopterus schreibersii
MG840986,Miniopterus schreibersii
MG840985,Miniopterus schreibersii
MG840984,Miniopterus schreibersii
MG840983,Miniopterus schreibersii
MG840982,Miniopterus schreibersii
MG840981,Miniopterus schreibersii
MG840980,Miniopterus schreibersii
MG840979,Miniopterus schreibersii
MG840978,Miniopterus schreibersii
MG840977,Miniopterus schreibersii
MG840976,Miniopterus schreibersii
MG840975,Miniopterus schreibersii
MG840974,Miniopterus schreibersii
MG840973,Miniopterus schreibersii
MG840972,Miniopterus schreibersii
MG840971,Miniopterus schreibersii
MG840970,Miniopterus schreibersii
MG840969,Miniopterus schreibersii
MG840968,Miniopterus schreibersii
MG840967,Miniopterus schreibersii
MG840966,Myotis petax
MG840965,Myotis petax
MG840964,Myotis petax
MG840963,Myotis petax
MG840962,Myotis petax
MG840961,Myotis petax
MG840960,Myotis petax
MG840959,Myotis petax
MG840958,Myotis petax
MG840957,Myotis petax
MG840956,Myotis petax
MG840955,Myotis petax
MG840954,Myotis macrodactylus
MG840953,Myotis macrodactylus
MG840952,Myotis macrodactylus
MF773737,Homo sapiens
MF773736,Homo sapiens
MF773735,Homo sapiens
MF773734,Homo sapiens
MF773733,Homo sapiens
MF773732,Homo sapiens
MF773731,Homo sapiens
MF773730,Homo sapiens
MF773729,Homo sapiens
MF773728,Homo sapiens
MF773727,Homo sapiens
MG882766,goose
MG882765,goose
MG882764,goose
MG924483,Homo sapiens; sex: M; age: 8 months
MH763692,Homo sapiens
MH763691,NA
MH325266,Homo sapiens
MH325265,Homo sapiens
MH325264,Homo sapiens
MH325263,Homo sapiens
MH325262,Homo sapiens
MH325261,Homo sapiens
MH325260,Homo sapiens
MH325259,Homo sapiens
MH325258,Homo sapiens
MH325257,Homo sapiens
MH325256,Homo sapiens
MH325255,Homo sapiens
MH325254,Homo sapiens
MH325253,Homo sapiens
MH325252,Homo sapiens
MH325251,Homo sapiens
MH325250,Homo sapiens
MH325249,Homo sapiens
MH325248,Homo sapiens
MH325247,Homo sapiens
MH325246,Homo sapiens
MH325245,Homo sapiens
MH325244,Homo sapiens
MH325243,Homo sapiens
MH325242,Homo sapiens
MH325241,Homo sapiens
MH325240,Homo sapiens
MH325239,Homo sapiens
MH325238,Homo sapiens
MH325237,Homo sapiens
MH325236,Homo sapiens
MH325235,Homo sapiens
MH325234,Homo sapiens
MH325233,Homo sapiens
MH325232,Homo sapiens
MH325231,Homo sapiens
MH325230,Homo sapiens
MH325229,Homo sapiens
MH325228,Homo sapiens
MH325227,Homo sapiens
MH325226,Homo sapiens
MH325225,Homo sapiens
MH325224,Homo sapiens
MH325223,Homo sapiens
MH325222,Homo sapiens
MH325221,Homo sapiens
MH325220,Homo sapiens
MH325219,Homo sapiens
MH325218,Homo sapiens
MH325217,Homo sapiens
MH325216,Homo sapiens
MH325215,Homo sapiens
MH325214,Homo sapiens
MH325213,Homo sapiens
MH282881,mink
MH282880,mink
MH282879,mink
MH282878,mink
MG557601,Homo sapiens
MG557600,Homo sapiens
MG557599,Homo sapiens
MG557598,Homo sapiens
MH188020,Culex sp. (mosquito)
MG846415,Gallus gallus
MG846414,Gallus gallus
MG846413,Gallus gallus
MG846421,Gallus gallus
MG846420,Gallus gallus
MG846419,Gallus gallus
MG846418,Gallus gallus
MG846417,Gallus gallus
MG846416,Gallus gallus
NC_037655,Budorcas taxicolor tibetana
NC_036583,Rattus norvegicus
NC_035758,Homo sapiens
NC_035471,Bat
NC_034975,Zalophus californianus (California sea lion)
NC_034567,Hortobagy goose
NC_033821,Marmota himalayana
NC_033792,Marmota himalayana
NC_032484,rat
NC_032426,Bat
NC_032423,porcine
NC_030922,NA
NC_027711,Camelus dromedarius
NC_027426,Coracias garrulus (European roller)
NC_026814,NA
NC_025346,Oryctolagus cuniculus
NC_024701,Felis catus
NC_024498,cattle
NC_024472,Homo sapiens
NC_024297,cattle
NC_023675,Sus scrofa
NC_023674,Sus scrofa
NC_023636,Sus scrofa (swine)
NC_023632,cattle
NC_023631,cattle
NC_023630,cattle
NC_023629,cattle
NC_022249,Felis catus
NC_019494,Sus scrofa (swine)
NC_019028,Homo sapiens
NC_019027,Homo sapiens
NC_019026,Homo sapiens
NC_018702,NA
NC_016155,Homo sapiens
NC_016896,Sus scrofa (wild boar)
NC_015935,Mus musculus
NC_013443,Homo sapiens
NC_013060,Homo sapiens
NC_012437,duck
NC_011400,NA
NC_005790,NA
NC_004579,NA
NC_003790,NA
NC_002470,turkey
NC_002469,sheep
NC_001943,NA
MG934571,goose
KY765684,Cerdocyon thous
MF768270,pigeon
MH064176,swine
MH064175,swine
MH064174,swine
MH064173,swine
MF684776,Homo sapiens
MH424412,bovine
MH424411,bovine
MH424410,bovine
MH013995,Triaenops afer
MH013994,Triaenops afer
MH013993,Triaenops afer
MH013992,Triaenops afer
MH013991,Triaenops afer
MH013990,Triaenops afer
MH013989,Triaenops afer
MH013988,Triaenops afer
MH013987,Triaenops afer
MH013986,Triaenops afer
MH013985,Triaenops afer
MH013984,Triaenops afer
MH013983,Triaenops afer
MH013982,Triaenops afer
